A2,A6,A7,A9,class,contam,num,std,Hyperfeature_1,Hyperfeature_2,Hyperfeature_3,Hyperfeature_4,Hyperfeature_5
1.2068,1.1075,1.73055555555556,1.31764705882353,0,93.1,12,4.4,1.0,0.4572961601307232,2.08843444444445,1.31764705882353,0.5285499917399812
1.2127,1.1078,1.75055555555556,1.30788235294118,0,93.1,12,4.4,1.0,0.4903933738562102,2.1228987222222275,1.30788235294118,0.5494642419652713
1.2119,1.1066,1.74333333333333,1.31611764705882,0,93.1,12,4.4,1.0,0.47275687843137276,2.1127456666666626,1.31611764705882,0.5458285261743323
1.2116,1.1042,1.73755555555556,1.312,0,93.1,12,4.4,1.0,0.4698984444444493,2.1052223111111164,1.312,0.5364594711858188
1.1765,1.0725,1.5209,1.271,0,28.9,6,1.5,1.0,0.26801775,1.78933885,1.271,0.18326977741371997
1.1752,1.0739,1.5166,1.2697,0,28.9,6,1.5,1.0,0.26514590999999993,1.78230832,1.2697,0.1727930311767898
1.176,1.0766,1.5122,1.266,0,28.9,6,1.5,1.0,0.26505892,1.7783471999999998,1.266,0.16646431344555013
1.1782,1.0813,1.5027,1.2599,0,28.9,6,1.5,1.0,0.26253963999999985,1.7704811399999998,1.2599,0.1547948667280612
1.1779,1.0805,1.4981,1.2579,0,28.9,6,1.5,1.0,0.2595361,1.76461199,1.2579,0.14480694213623035
1.1776,1.0825,1.4944,1.2546,0,28.9,6,1.5,1.0,0.2595835,1.7598054399999998,1.2546,0.1357725905581615
1.1835,1.0838,1.5112,1.2595,0,28.9,6,1.5,1.0,0.27279246000000007,1.7885052000000001,1.2595,0.18360502358120545
1.1831,1.0864,1.5065,1.2558,0,28.9,6,1.5,1.0,0.2723604799999999,1.78234015,1.2558,0.17320861090925121
1.1835,1.0858,1.5016,1.2535,0,28.9,6,1.5,1.0,0.26938698,1.7771436,1.2535,0.16474427440215478
1.1726,1.03175,1.66945,1.3397,1,202.4,21,2.6,1.0,0.3402195625000002,1.9575970700000003,1.3397,0.36134603723903314
1.1724,1.03155,1.6637,1.33835,1,202.4,21,2.6,1.0,0.33561479250000004,1.9505218800000002,1.33835,0.3550737889394564
1.1753,1.0419,1.6582,1.3327,1,202.4,21,2.6,1.0,0.3391384499999999,1.9488824599999999,1.3327,0.36074883918477973
1.1809,1.033,1.637,1.32015,1,202.4,21,2.6,1.0,0.32730605000000007,1.9331333000000002,1.32015,0.33843518696499864
